Temp	s_xy	_xz	s_yz 
    385.2529    904.93388    -1119.113   -297.18602 
   391.71636    642.39036   -1249.5723   -384.52496 
   398.61395     326.4794   -1342.6792   -485.82691 
   405.65295    -30.18342   -1394.9061   -594.75253 
   412.48598    -408.4752   -1409.9973   -705.74222 
   418.72539   -785.81105   -1394.2155   -809.96309 
   423.97181   -1139.0855   -1358.8557   -900.95699 
   427.85743   -1444.2986    -1316.423   -970.99275 
   430.09902   -1683.6412    -1280.969   -1013.8223 
   430.55301   -1848.3769   -1265.3709   -1024.3117 
   429.25641   -1937.7559    -1276.017   -997.89796 
   426.44114   -1963.1349    -1313.128   -932.04882 
   422.51478   -1941.9115   -1367.6119   -827.04797 
   418.00484   -1890.6697   -1431.0905   -685.94945 
   413.47913   -1826.8257    -1491.934   -517.55646 
   409.45517   -1763.0863   -1541.2609   -333.83566 
   406.32053   -1705.2202   -1576.8124   -150.00751 
   404.27742   -1656.3524    -1595.736     16.91249 
   403.32649   -1617.1734   -1593.9548    150.50597 
   403.28621   -1586.8926   -1564.3208    240.24006 
    403.8446   -1565.8308   -1497.7549    278.90638 
   404.62449   -1555.2324   -1384.9562    267.22916 
   405.24977   -1556.0743   -1224.0397    209.71486 
   405.40425   -1566.4025   -1021.6243    117.07467 
   404.87417   -1582.2043   -791.79035      -2.4399 
   403.57457   -1595.1235   -553.95671   -138.21348 
   401.55614   -1592.5176   -327.87673   -280.90663 
   398.99256   -1561.2498   -124.35101   -422.78742 
   396.14641     -1489.31    48.632559   -554.16274 
   393.32212   -1369.6959    195.08227    -667.8045 
   390.81349   -1200.4746    320.22813    -756.3325 
   388.86114   -988.47672    431.27472   -816.84866 
    387.6272   -745.87516    532.58599   -852.19901 
   387.19171   -488.71908    629.07246   -871.44572 
   387.56552   -236.29462    720.06111   -888.58996 
    388.7126   -6.0419218    802.81519   -919.46923 
   390.57088    187.51108     875.7918   -976.21085 
   393.06283    332.50947    933.10246   -1064.2019 
   396.09347    426.37633    974.64996   -1182.9195 
   399.53727    469.84548    1000.4057   -1320.2199 
   403.22176    472.50331      1014.52   -1457.1016 
   406.91578    446.62453    1022.5976   -1573.7175 
   410.33381    404.32755    1035.5068   -1652.0789 
   413.15886    356.62821    1060.0041   -1678.1475 
   415.08367     309.8696    1102.8187   -1644.0644 
   415.86161    263.10781     1164.487   -1546.5032 
   415.35302    211.84323    1241.1686   -1389.0299 
   413.55637    147.76354    1326.1162   -1179.2535 
   410.61504    62.959192    1409.4342   -925.96955 
   406.79736   -47.684542    1480.9786   -638.50032 
   402.45789   -187.44717    1530.1616   -327.34486 
   397.98803   -352.89092    1549.4197   -4.7384767 
   393.76694    -538.0868    1534.1366     317.3532 
    390.1173   -732.73154    1481.1988    624.59113 
   387.27582    -926.4452     1390.842    901.89618 
   385.37802   -1109.1006    1268.6836    1136.2269 
    384.4562   -1274.5347     1121.225    1315.5428 
   384.44851   -1418.4278    955.55468    1435.1898 
   385.21807   -1541.7839    779.17267     1495.762 
   386.57566   -1648.9508    599.75284    1504.3831 
   388.30712   -1745.1351    421.82894    1473.2523 
   390.20157   -1836.4394    249.06839    1413.8251 
   392.07606   -1921.3285    85.077843     1338.537 
   393.79444    -1998.109   -65.281108    1256.3432 
    395.2766   -2055.5624   -197.82437    1170.8433 
   396.49684    -2084.013   -306.57419    1082.2997 
   397.47162   -2072.9803   -383.99346    990.34897 
   398.23469   -2016.0896   -424.31606    892.62489 
   398.80739   -1914.6934   -422.49614    788.72997 
   399.16819   -1777.3102   -376.07964     681.1918 
   399.23181   -1618.3074   -285.50312    573.47452 
   398.84797   -1454.0864   -157.06165    470.00588 
   397.82295   -1302.3421   -3.5549931    374.51953 
   395.96198   -1173.3549     156.6525    289.07347 
   393.12601   -1071.0762    298.54503    215.02114 
