# freqs_THz  cepf_psd cepf_logpsd
# 
4.601840736294518508e-01 6.743495498127393425e+06 1.545372612289039793e+01
4.701880752300920396e-01 6.739988778165782802e+06 1.545320597246506011e+01
4.801920768307322840e-01 6.736409772476346232e+06 1.545267482079866639e+01
4.901960784313725283e-01 6.732758677097952925e+06 1.545213267961430148e+01
5.002000800320127727e-01 6.729035691823150031e+06 1.545157956087430406e+01
5.102040816326529615e-01 6.725241020175487734e+06 1.545101547677978004e+01
5.202080832332933724e-01 6.721374869386546314e+06 1.545044043977013715e+01
5.302120848339335613e-01 6.717437450372549705e+06 1.544985446252259820e+01
5.402160864345738611e-01 6.713428977710545063e+06 1.544925755795170019e+01
5.502200880352141610e-01 6.709349669614220038e+06 1.544864973920878626e+01
5.602240896358543498e-01 6.705199747909370810e+06 1.544803101968149406e+01
5.702280912364945387e-01 6.700979438008987345e+06 1.544740141299322289e+01
5.802320928371348385e-01 6.696688968887981959e+06 1.544676093300262210e+01
5.902360944377750274e-01 6.692328573057517409e+06 1.544610959380301907e+01
6.002400960384154383e-01 6.687898486538980156e+06 1.544544740972188279e+01
6.102440976390556271e-01 6.683398948837699369e+06 1.544477439532027319e+01
6.202480992396959270e-01 6.678830202916149981e+06 1.544409056539224068e+01
6.302521008403362268e-01 6.674192495166942477e+06 1.544339593496427909e+01
6.402561024409763046e-01 6.669486075385444798e+06 1.544269051929471104e+01
6.502601040416166045e-01 6.664711196742041968e+06 1.544197433387311591e+01
6.602641056422569044e-01 6.659868115754075348e+06 1.544124739441969396e+01
6.702681072428972042e-01 6.654957092257460579e+06 1.544050971688467655e+01
6.802721088435373931e-01 6.649978389378068037e+06 1.543976131744769376e+01
6.902761104441776929e-01 6.644932273502534255e+06 1.543900221251712424e+01
7.002801120448178818e-01 6.639819014249208383e+06 1.543823241872948415e+01
7.102841136454581816e-01 6.634638884438284673e+06 1.543745195294874861e+01
7.202881152460984815e-01 6.629392160062050447e+06 1.543666083226570862e+01
7.302921168467386703e-01 6.624079120254554786e+06 1.543585907399729251e+01
7.402961184473789702e-01 6.618700047261258587e+06 1.543504669568590160e+01
7.503001200480192701e-01 6.613255226408059709e+06 1.543422371509869251e+01
7.603041216486594589e-01 6.607744946070451289e+06 1.543339015022693061e+01
7.703081232492997588e-01 6.602169497642010450e+06 1.543254601928524039e+01
7.803121248499399476e-01 6.596529175502963364e+06 1.543169134071092685e+01
7.903161264505801364e-01 6.590824276988198981e+06 1.543082613316322593e+01
8.003201280512205473e-01 6.585055102355257608e+06 1.542995041552259750e+01
8.103241296518607362e-01 6.579221954751904123e+06 1.542906420688997571e+01
8.203281312525010360e-01 6.573325140183670446e+06 1.542816752658603718e+01
8.303321328531412249e-01 6.567364967480816878e+06 1.542726039415041228e+01
8.403361344537814137e-01 6.561341748265416361e+06 1.542634282934096035e+01
8.503401360544218246e-01 6.555255796918001026e+06 1.542541485213297037e+01
8.603441376550620134e-01 6.549107430544113740e+06 1.542447648271840066e+01
8.703481392557023133e-01 6.542896968940511346e+06 1.542352774150506889e+01
8.803521408563426132e-01 6.536624734561216086e+06 1.542256864911587044e+01
8.903561424569828020e-01 6.530291052483467385e+06 1.542159922638796843e+01
9.003601440576229908e-01 6.523896250373326242e+06 1.542061949437198010e+01
9.103641456582631797e-01 6.517440658451148309e+06 1.541962947433115261e+01
9.203681472589037016e-01 6.510924609456875362e+06 1.541862918774053526e+01
9.303721488595438904e-01 6.504348438615132123e+06 1.541761865628613037e+01
9.403761504601840793e-01 6.497712483600247651e+06 1.541659790186407974e+01
9.503801520608243791e-01 6.491017084500872530e+06 1.541556694657976223e+01
9.603841536614645680e-01 6.484262583784683608e+06 1.541452581274696598e+01
9.703881552621047568e-01 6.477449326262822375e+06 1.541347452288700737e+01
9.803921568627450567e-01 6.470577659054196440e+06 1.541241309972785345e+01
9.903961584633853565e-01 6.463647931549550034e+06 1.541134156620323026e+01
1.000400160064025545e+00 6.456660495375613682e+06 1.541025994545173106e+01
1.010404161664665956e+00 6.449615704358879477e+06 1.540916826081592106e+01
1.020408163265305923e+00 6.442513914489411749e+06 1.540806653584141728e+01
1.030412164865946556e+00 6.435355483884437010e+06 1.540695479427597192e+01
1.040416166466586745e+00 6.428140772751921788e+06 1.540583306006855580e+01
1.050420168067226934e+00 6.420870143353940919e+06 1.540470135736840973e+01
1.060424169667867123e+00 6.413543959969936870e+06 1.540355971052411377e+01
1.070428171268507311e+00 6.406162588860069402e+06 1.540240814408264214e+01
1.080432172869147722e+00 6.398726398228200153e+06 1.540124668278839692e+01
1.090436174469787911e+00 6.391235758184988052e+06 1.540007535158224528e+01
1.100440176070428322e+00 6.383691040710851550e+06 1.539889417560056017e+01
1.110444177671068511e+00 6.376092619618760422e+06 1.539770318017421857e+01
1.120448179271708700e+00 6.368440870517180301e+06 1.539650239082764571e+01
1.130452180872348888e+00 6.360736170772682875e+06 1.539529183327778838e+01
1.140456182472989077e+00 6.352978899472808465e+06 1.539407153343314860e+01
1.150460184073629488e+00 6.345169437388469465e+06 1.539284151739273554e+01
1.160464185674269677e+00 6.337308166936825961e+06 1.539160181144509565e+01
1.170468187274910088e+00 6.329395472143585794e+06 1.539035244206724329e+01
1.180472188875550055e+00 6.321431738605680875e+06 1.538909343592366241e+01
1.190476190476190466e+00 6.313417353453753516e+06 1.538782481986526918e+01
1.200480192076830877e+00 6.305352705314610153e+06 1.538654662092835679e+01
1.210484193677471065e+00 6.297238184273591265e+06 1.538525886633352968e+01
1.220488195278111254e+00 6.289074181837146170e+06 1.538396158348468035e+01
1.230492196878751443e+00 6.280861090895271860e+06 1.538265479996790930e+01
1.240496198479391854e+00 6.272599305683841929e+06 1.538133854355043439e+01
1.250500200080031821e+00 6.264289221747146919e+06 1.538001284217954279e+01
1.260504201680672454e+00 6.255931235900351778e+06 1.537867772398148958e+01
1.270508203281312642e+00 6.247525746191895567e+06 1.537733321726039293e+01
1.280512204881952609e+00 6.239073151866109110e+06 1.537597935049717179e+01
1.290516206482593020e+00 6.230573853325635195e+06 1.537461615234839840e+01
1.300520208083233209e+00 6.222028252094077878e+06 1.537324365164521822e+01
1.310524209683873842e+00 6.213436750778488815e+06 1.537186187739221310e+01
1.320528211284513809e+00 6.204799753032147884e+06 1.537047085876628216e+01
1.330532212885153998e+00 6.196117663517125882e+06 1.536907062511550492e+01
1.340536214485794408e+00 6.187390887867135927e+06 1.536766120595801866e+01
1.350540216086434375e+00 6.178619832650264725e+06 1.536624263098085308e+01
1.360544217687074786e+00 6.169804905331902206e+06 1.536481493003879706e+01
1.370548219287715197e+00 6.160946514237626456e+06 1.536337813315322265e+01
1.380552220888355386e+00 6.152045068516231142e+06 1.536193227051094112e+01
1.390556222488995575e+00 6.143100978102892637e+06 1.536047737246302702e+01
1.400560224089635764e+00 6.134114653682249598e+06 1.535901346952363511e+01
1.410564225690276174e+00 6.125086506651753560e+06 1.535754059236883151e+01
1.420568227290916363e+00 6.116016949084986001e+06 1.535605877183538936e+01
1.430572228891556774e+00 6.106906393695157953e+06 1.535456803891961997e+01
1.440576230492196963e+00 6.097755253798607737e+06 1.535306842477613642e+01
1.450580232092837152e+00 6.088563943278616294e+06 1.535155996071668838e+01
1.460584233693477341e+00 6.079332876549105160e+06 1.535004267820893276e+01
1.470588235294117530e+00 6.070062468518547714e+06 1.534851660887520808e+01
1.480592236894757940e+00 6.060753134554021060e+06 1.534698178449132300e+01
1.490596238495398129e+00 6.051405290445431136e+06 1.534543823698532705e+01
1.500600240096038540e+00 6.042019352369727567e+06 1.534388599843628143e+01
1.510604241696678729e+00 6.032595736855317838e+06 1.534232510107299774e+01
1.520608243297318918e+00 6.023134860746808350e+06 1.534075557727283012e+01
1.530612244897959107e+00 6.013637141169484705e+06 1.533917745956038203e+01
1.540616246498599518e+00 6.004102995494419709e+06 1.533759078060629122e+01
1.550620248099239706e+00 5.994532841303337365e+06 1.533599557322594009e+01
1.560624249699879895e+00 5.984927096353874542e+06 1.533439187037820517e+01
1.570628251300520306e+00 5.975286178544877097e+06 1.533277970516416744e+01
1.580632252901160273e+00 5.965610505881951191e+06 1.533115911082586180e+01
1.590636254501800906e+00 5.955900496443200856e+06 1.532953012074497678e+01
1.600640256102441095e+00 5.946156568344961852e+06 1.532789276844157556e+01
1.610644257703081283e+00 5.936379139707917348e+06 1.532624708757278853e+01
1.620648259303721472e+00 5.926568628623333760e+06 1.532459311193154505e+01
1.630652260904361661e+00 5.916725453119452111e+06 1.532293087544525179e+01
1.640656262505002072e+00 5.906850031128049828e+06 1.532126041217448176e+01
1.650660264105642261e+00 5.896942780451297760e+06 1.531958175631168118e+01
1.660664265706282450e+00 5.887004118728695437e+06 1.531789494217984426e+01
1.670668267306922861e+00 5.877034463404266164e+06 1.531620000423118455e+01
1.680672268907562827e+00 5.867034231694002636e+06 1.531449697704582746e+01
1.690676270508203238e+00 5.857003840553427115e+06 1.531278589533046386e+01
1.700680272108843649e+00 5.846943706645370461e+06 1.531106679391702130e+01
1.710684273709483838e+00 5.836854246308107860e+06 1.530933970776133535e+01
1.720688275310124027e+00 5.826735875523514114e+06 1.530760467194179242e+01
1.730692276910764216e+00 5.816589009885535575e+06 1.530586172165799042e+01
1.740696278511404627e+00 5.806414064568946138e+06 1.530411089222938159e+01
1.750700280112044593e+00 5.796211454298208468e+06 1.530235221909392251e+01
1.760704281712685226e+00 5.785981593316612765e+06 1.530058573780670983e+01
1.770708283313325415e+00 5.775724895355756395e+06 1.529881148403862667e+01
1.780712284913965604e+00 5.765441773605023511e+06 1.529702949357495001e+01
1.790716286514605793e+00 5.755132640681587160e+06 1.529523980231401126e+01
1.800720288115245982e+00 5.744797908600341529e+06 1.529344244626579297e+01
1.810724289715886393e+00 5.734437988744409755e+06 1.529163746155056103e+01
1.820728291316526359e+00 5.724053291835674085e+06 1.528982488439748977e+01
1.830732292917166770e+00 5.713644227905543521e+06 1.528800475114325153e+01
1.840736294517807403e+00 5.703211206266181543e+06 1.528617709823065240e+01
1.850740296118447592e+00 5.692754635481733829e+06 1.528434196220721475e+01
1.860744297719087781e+00 5.682274923339962959e+06 1.528249937972379158e+01
1.870748299319727970e+00 5.671772476824188605e+06 1.528064938753317037e+01
1.880752300920368159e+00 5.661247702085296623e+06 1.527879202248864488e+01
1.890756302521008347e+00 5.650701004414214753e+06 1.527692732154264021e+01
1.900760304121648758e+00 5.640132788214483298e+06 1.527505532174526692e+01
1.910764305722288947e+00 5.629543456975301728e+06 1.527317606024293895e+01
1.920768307322929136e+00 5.618933413244526833e+06 1.527128957427692058e+01
1.930772308923569325e+00 5.608303058602343313e+06 1.526939590118193379e+01
1.940776310524209514e+00 5.597652793634868227e+06 1.526749507838473008e+01
1.950780312124850147e+00 5.586983017908212729e+06 1.526558714340264800e+01
1.960784313725490113e+00 5.576294129942705855e+06 1.526367213384218857e+01
1.970788315326130524e+00 5.565586527187589556e+06 1.526175008739760486e+01
1.980792316926770713e+00 5.554860605995688587e+06 1.525982104184942401e+01
1.990796318527411124e+00 5.544116761598708108e+06 1.525788503506304750e+01
2.000800320128051091e+00 5.533355388082540594e+06 1.525594210498729097e+01
2.010804321728691502e+00 5.522576878362993710e+06 1.525399228965293830e+01
2.020808323329331913e+00 5.511781624161761254e+06 1.525203562717130268e+01
2.030812324929971879e+00 5.500970015982698649e+06 1.525007215573278074e+01
2.040816326530611846e+00 5.490142443088404834e+06 1.524810191360538880e+01
2.050820328131252257e+00 5.479299293477018364e+06 1.524612493913331690e+01
2.060824329731893112e+00 5.468440953859406523e+06 1.524414127073547931e+01
2.070828331332533079e+00 5.457567809636582620e+06 1.524215094690404726e+01
2.080832332933173490e+00 5.446680244877340272e+06 1.524015400620297100e+01
2.090836334533813901e+00 5.435778642296435311e+06 1.523815048726656229e+01
2.100840336134453867e+00 5.424863383232749999e+06 1.523614042879798802e+01
2.110844337735093834e+00 5.413934847628024407e+06 1.523412386956782782e+01
2.120848339335734245e+00 5.402993414005600847e+06 1.523210084841258549e+01
2.130852340936374656e+00 5.392039459449769929e+06 1.523007140423323591e+01
2.140856342537014623e+00 5.381073359585179016e+06 1.522803557599374713e+01
2.150860344137655034e+00 5.370095488556674682e+06 1.522599340271960244e+01
2.160864345738295444e+00 5.359106219009373337e+06 1.522394492349632955e+01
2.170868347338935411e+00 5.348105922069057822e+06 1.522189017746802264e+01
2.180872348939575822e+00 5.337094967322838493e+06 1.521982920383585025e+01
2.190876350540216233e+00 5.326073722800218500e+06 1.521776204185660575e+01
2.200880352140856644e+00 5.315042554954282008e+06 1.521568873084119033e+01
2.210884353741496611e+00 5.304001828643393703e+06 1.521360931015315288e+01
2.220888355342137022e+00 5.292951907112970017e+06 1.521152381920719066e+01
2.230892356942776988e+00 5.281893151977820322e+06 1.520943229746768566e+01
2.240896358543417399e+00 5.270825923204462975e+06 1.520733478444718401e+01
2.250900360144057366e+00 5.259750579094055109e+06 1.520523131970494290e+01
2.260904361744697777e+00 5.248667476265450940e+06 1.520312194284541718e+01
2.270908363345338188e+00 5.237576969638555311e+06 1.520100669351677780e+01
2.280912364945978155e+00 5.226479412418040447e+06 1.519888561140942329e+01
2.290916366546618566e+00 5.215375156077343039e+06 1.519675873625448048e+01
2.300920368147258976e+00 5.204264550342975184e+06 1.519462610782232304e+01
2.310924369747899387e+00 5.193147943179109134e+06 1.519248776592106864e+01
2.320928371348539354e+00 5.182025680772387423e+06 1.519034375039507978e+01
2.330932372949179765e+00 5.170898107517276891e+06 1.518819410112349289e+01
2.340936374549820176e+00 5.159765566001375206e+06 1.518603885801869069e+01
2.350940376150460143e+00 5.148628396991353482e+06 1.518387806102483495e+01
2.360944377751100109e+00 5.137486939418925904e+06 1.518171175011635654e+01
2.370948379351740520e+00 5.126341530367302708e+06 1.517953996529645622e+01
2.380952380952380931e+00 5.115192505057828501e+06 1.517736274659561602e+01
2.390956382553020898e+00 5.104040196836947463e+06 1.517518013407010002e+01
2.400960384153661753e+00 5.092884937163531780e+06 1.517299216780046223e+01
2.410964385754302164e+00 5.081727055596323684e+06 1.517079888789002595e+01
2.420968387354942131e+00 5.070566879781926982e+06 1.516860033446342371e+01
2.430972388955582097e+00 5.059404735442862846e+06 1.516639654766507306e+01
2.440976390556222508e+00 5.048240946365973912e+06 1.516418756765768450e+01
2.450980392156862919e+00 5.037075834391292185e+06 1.516197343462077285e+01
2.460984393757502886e+00 5.025909719400905073e+06 1.515975418874915803e+01
2.470988395358143297e+00 5.014742919308324344e+06 1.515752987025145515e+01
2.480992396958783708e+00 5.003575750048106536e+06 1.515530051934860367e+01
2.490996398559423675e+00 4.992408525565645657e+06 1.515306617627234687e+01
2.501000400160063641e+00 4.981241557807412930e+06 1.515082688126375388e+01
2.511004401760704496e+00 4.970075156711385585e+06 1.514858267457172047e+01
2.521008403361344907e+00 4.958909630197713152e+06 1.514633359645146982e+01
2.531012404961984874e+00 4.947745284159827046e+06 1.514407968716307096e+01
2.541016406562625285e+00 4.936582422455651686e+06 1.514182098696992895e+01
2.551020408163265696e+00 4.925421346899214201e+06 1.513955753613731758e+01
2.561024409763905219e+00 4.914262357252452523e+06 1.513728937493086590e+01
2.571028411364545629e+00 4.903105751217379235e+06 1.513501654361507676e+01
2.581032412965186040e+00 4.891951824428421445e+06 1.513273908245184529e+01
2.591036414565826451e+00 4.880800870445149019e+06 1.513045703169895617e+01
2.601040416166466418e+00 4.869653180745182559e+06 1.512817043160861985e+01
2.611044417767106829e+00 4.858509044717404060e+06 1.512587932242595912e+01
2.621048419367747684e+00 4.847368749655432999e+06 1.512358374438755249e+01
2.631052420968387207e+00 4.836232580751386471e+06 1.512128373771992784e+01
2.641056422569027617e+00 4.825100821089860983e+06 1.511897934263810228e+01
2.651060424169668028e+00 4.813973751642215997e+06 1.511667059934407931e+01
2.661064425770307995e+00 4.802851651261117309e+06 1.511435754802538867e+01
2.671068427370948406e+00 4.791734796675352380e+06 1.511204022885361553e+01
2.681072428971588817e+00 4.780623462484831922e+06 1.510971868198289769e+01
2.691076430572229228e+00 4.769517921155919321e+06 1.510739294754847251e+01
2.701080432172868750e+00 4.758418443017013371e+06 1.510506306566520962e+01
2.711084433773509161e+00 4.747325296254346147e+06 1.510272907642611884e+01
2.721088435374149572e+00 4.736238746908093803e+06 1.510039101990091837e+01
2.731092436974789983e+00 4.725159058868596330e+06 1.509804893613452137e+01
2.741096438575430394e+00 4.714086493873031810e+06 1.509570286514561488e+01
2.751100440176070805e+00 4.703021311502167955e+06 1.509335284692517476e+01
2.761104441776710772e+00 4.691963769177403301e+06 1.509099892143501265e+01
2.771108443377350739e+00 4.680914122158127837e+06 1.508864112860632289e+01
2.781112444977991149e+00 4.669872623539165594e+06 1.508627950833820819e+01
2.791116446578631560e+00 4.658839524248646572e+06 1.508391410049625492e+01
2.801120448179271527e+00 4.647815073045953177e+06 1.508154494491106945e+01
2.811124449779911938e+00 4.636799516519979574e+06 1.507917208137682508e+01
2.821128451380552349e+00 4.625793099087568931e+06 1.507679554964981605e+01
2.831132452981192316e+00 4.614796062992284074e+06 1.507441538944702941e+01
2.841136454581832727e+00 4.603808648303298280e+06 1.507203164044468835e+01
2.851140456182473137e+00 4.592831092914555222e+06 1.506964434227682759e+01
2.861144457783113548e+00 4.581863632544125430e+06 1.506725353453384386e+01
2.871148459383753515e+00 4.570906500733845867e+06 1.506485925676108195e+01
2.881152460984393926e+00 4.559959928849123418e+06 1.506246154845739227e+01
2.891156462585033893e+00 4.549024146078983322e+06 1.506006044907371333e+01
2.901160464185674304e+00 4.538099379436273128e+06 1.505765599801164001e+01
2.911164465786314270e+00 4.527185853758173063e+06 1.505524823462200601e+01
2.921168467386954681e+00 4.516283791706861928e+06 1.505283719820347699e+01
2.931172468987595092e+00 4.505393413770367391e+06 1.505042292800112236e+01
2.941176470588235059e+00 4.494514938263708726e+06 1.504800546320501908e+01
2.951180472188875914e+00 4.483648581330080517e+06 1.504558484294881993e+01
2.961184473789515881e+00 4.472794556942526251e+06 1.504316110630839631e+01
2.971188475390156292e+00 4.461953076905434020e+06 1.504073429230038528e+01
2.981192476990796258e+00 4.451124350856552832e+06 1.503830443988082877e+01
2.991196478591436669e+00 4.440308586269008927e+06 1.503587158794375611e+01
3.001200480192077080e+00 4.429505988453631289e+06 1.503343577531982334e+01
3.011204481792717047e+00 4.418716760561333038e+06 1.503099704077489207e+01
3.021208483393357458e+00 4.407941103585903533e+06 1.502855542300867953e+01
3.031212484993997425e+00 4.397179216366707347e+06 1.502611096065336582e+01
3.041216486594637836e+00 4.386431295591781847e+06 1.502366369227221199e+01
3.051220488195277802e+00 4.375697535801026039e+06 1.502121365635820638e+01
3.061224489795918213e+00 4.364978129389551468e+06 1.501876089133267911e+01
3.071228491396559068e+00 4.354273266611302271e+06 1.501630543554396624e+01
3.081232492997199035e+00 4.343583135582739487e+06 1.501384732726602067e+01
3.091236494597839002e+00 4.332907922286724672e+06 1.501138660469707276e+01
3.101240496198479413e+00 4.322247810576684773e+06 1.500892330595829094e+01
3.111244497799119824e+00 4.311602982180744410e+06 1.500645746909241396e+01
3.121248499399759790e+00 4.300973616706175730e+06 1.500398913206241858e+01
3.131252501000400201e+00 4.290359891644006595e+06 1.500151833275019086e+01
3.141256502601040612e+00 4.279761982373693027e+06 1.499904510895518683e+01
3.151260504201680579e+00 4.269180062168030068e+06 1.499656949839310016e+01
3.161264505802320546e+00 4.258614302198167890e+06 1.499409153869454059e+01
3.171268507402960957e+00 4.248064871538846754e+06 1.499161126740371586e+01
3.181272509003601812e+00 4.237531937173729762e+06 1.498912872197712431e+01
3.191276510604241778e+00 4.227015664000858553e+06 1.498664393978222975e+01
3.201280512204882189e+00 4.216516214838356711e+06 1.498415695809617176e+01
