# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
1.200000000000000178e+00 9.861775382764063776e+06 7.682820509993018582e+06 1.610417676947398391e+01 1.563296576843461949e+01
1.210000000000000187e+00 2.289372178651511203e+06 7.461105439077323303e+06 1.464378818014820460e+01 1.559516036866962452e+01
1.220000000000000195e+00 8.256353089402832091e+06 7.235549351466172375e+06 1.592649353340075002e+01 1.555352886561588655e+01
1.229999999999999982e+00 4.304341035676782019e+06 6.927072146811761893e+06 1.527513461459842858e+01 1.552005889812295969e+01
1.240000000000000213e+00 9.273475556741125882e+06 5.505755969760834239e+06 1.604266879248993405e+01 1.539185356557739759e+01
1.250000000000000000e+00 2.839277456263804343e+06 7.451983973693827167e+06 1.485906016095942306e+01 1.561281026043146092e+01
1.260000000000000009e+00 4.729483567213147879e+06 7.163635335230272263e+06 1.536932657209991504e+01 1.557753196477167990e+01
1.270000000000000018e+00 4.271715552696760744e+06 7.585811059726158157e+06 1.526752607329878408e+01 1.567826460210531359e+01
1.280000000000000027e+00 7.623785874679015018e+06 7.499004232405109331e+06 1.584678363822908587e+01 1.566709131269201372e+01
1.289999999999999813e+00 5.048240962416378781e+06 7.253156053247114643e+06 1.543455041629856694e+01 1.557712644798059998e+01
1.300000000000000266e+00 2.347400305412666127e+07 6.761500932345135137e+06 1.697140411374898150e+01 1.549756945732044322e+01
1.310000000000000053e+00 6.689940359664958902e+06 6.929079657135652378e+06 1.571611551721638733e+01 1.554305247393160450e+01
1.320000000000000062e+00 6.933305148106263950e+06 6.635989481908597052e+06 1.575184719081819296e+01 1.543898915589771370e+01
1.330000000000000071e+00 7.301477988871296868e+06 7.199683588986226358e+06 1.580358734985444791e+01 1.552050942907357012e+01
1.340000000000000080e+00 1.600011064938847208e+06 6.864666045304712839e+06 1.428552110277287746e+01 1.546046856051006380e+01
1.350000000000000089e+00 3.865269226819350850e+06 7.481635159608507529e+06 1.516754189522822216e+01 1.553792429125063634e+01
1.360000000000000098e+00 4.682643428959492594e+06 5.496015157681691460e+06 1.535937334368219886e+01 1.529556291370520604e+01
1.370000000000000107e+00 1.505491639715531608e+06 5.285314782025134191e+06 1.422463007372711985e+01 1.525689651747766540e+01
1.380000000000000115e+00 1.047235073055068962e+07 5.193300680156536400e+06 1.616424907823320467e+01 1.524255052280370570e+01
1.390000000000000124e+00 3.938592894182374701e+06 5.593920073653643951e+06 1.518633408403052698e+01 1.528547965539775966e+01
1.399999999999999911e+00 1.183490121975810453e+07 6.275270342747245915e+06 1.628656345444487030e+01 1.544345232053630212e+01
1.410000000000000142e+00 1.632183032931693364e+06 6.326187432877013460e+06 1.430542896074923931e+01 1.545575410828403662e+01
1.419999999999999929e+00 4.372236227442828938e+06 6.341683226986971684e+06 1.529078515871341359e+01 1.545900449973581914e+01
1.430000000000000160e+00 5.921150027551690117e+06 6.592618560984547250e+06 1.559404124940464165e+01 1.555368682754806287e+01
1.440000000000000169e+00 1.170829131733948365e+07 5.894199111033472233e+06 1.627580780838900054e+01 1.543343307549514876e+01
1.450000000000000178e+00 9.094864024968467653e+06 5.925755570759660564e+06 1.602322041929686591e+01 1.544111158717518251e+01
1.459999999999999964e+00 4.425357218246794306e+06 5.280707272538555786e+06 1.530286156045330515e+01 1.535791625137503047e+01
1.470000000000000195e+00 4.853097164169030264e+06 5.729029065180443227e+06 1.539512764965179947e+01 1.548442893609228044e+01
1.479999999999999982e+00 4.265780313688869588e+06 5.711198726075666957e+06 1.526613567966183460e+01 1.548025655371957754e+01
1.489999999999999991e+00 2.789736781088865828e+06 5.423827888825268485e+06 1.484145780565115480e+01 1.541086797613609782e+01
1.500000000000000000e+00 4.285713951170438901e+06 4.582147525205268525e+06 1.527079771251088225e+01 1.526865998751143927e+01
1.510000000000000009e+00 4.739369939325946383e+06 4.028368702970476355e+06 1.537141476064321743e+01 1.516793278908836839e+01
1.520000000000000018e+00 6.563722751992450096e+06 4.531953726646647789e+06 1.569706849263896942e+01 1.524172434599198489e+01
1.530000000000000027e+00 4.176102497290292289e+06 4.389419268601513468e+06 1.524488895261368349e+01 1.520625306949687605e+01
1.540000000000000036e+00 2.760070817797307391e+06 4.146211765845226124e+06 1.483076689598636833e+01 1.511656415284593713e+01
1.550000000000000044e+00 2.449807317519494798e+06 4.357189178038399667e+06 1.471151993351774756e+01 1.517159576308869262e+01
1.560000000000000275e+00 3.003296980385750998e+06 4.472348091904082336e+06 1.491522123664307209e+01 1.519513706119027674e+01
1.570000000000000284e+00 9.964792478684678674e+06 4.115739723178491462e+06 1.611456868639308837e+01 1.503528117644689033e+01
1.580000000000000293e+00 3.285218125672553666e+06 4.462787254364351742e+06 1.500494360820558093e+01 1.507695780693648224e+01
1.590000000000000080e+00 1.590497783369707409e+06 4.212359304401312955e+06 1.427955759650152245e+01 1.497898148172309973e+01
1.600000000000000089e+00 5.110488315213781781e+06 4.256756402815351263e+06 1.544680551832145099e+01 1.499379222759281127e+01
1.609999999999999876e+00 5.552462003692942671e+06 4.278246126913182437e+06 1.552975199162833064e+01 1.500216641409292606e+01
1.619999999999999885e+00 8.166778833444471238e+05 4.099746125243441202e+06 1.361300002846596691e+01 1.490574048560079490e+01
1.630000000000000115e+00 1.038124559503691457e+07 3.852964483340974431e+06 1.615551142802451068e+01 1.487682868162994509e+01
1.640000000000000124e+00 1.421395047696859343e+06 4.547356658512653783e+06 1.416714937526647056e+01 1.498605471034032277e+01
1.649999999999999911e+00 3.248438900351732504e+06 4.836536765885761939e+06 1.499368510055318460e+01 1.508592828068132086e+01
1.659999999999999920e+00 2.686194282595640514e+06 4.456830887633630075e+06 1.480363598501900491e+01 1.493139466994679410e+01
1.670000000000000151e+00 1.039796962018585880e+06 4.040114215817766264e+06 1.385453602322964350e+01 1.477265220971941062e+01
1.680000000000000382e+00 7.250194417757550254e+06 5.945442020962105133e+06 1.579653884271372988e+01 1.507113276269109114e+01
