 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.556623448755674809e+07+0.000000000000000000e+00j)  (-2.734655940933010243e+03+0.000000000000000000e+00j)  (-2.734655940933010243e+03+0.000000000000000000e+00j)  (1.593207971611604767e+00+0.000000000000000000e+00j)
 (1.000000000000000021e-02+0.000000000000000000e+00j)  (1.989653887873966992e+07+0.000000000000000000e+00j)  (-2.414099303967941069e+03-5.492544325396046361e+02j)  (-2.414099303967941069e+03+5.492544325396046361e+02j)  (4.534733805085776837e+00+0.000000000000000000e+00j)
 (2.000000000000000042e-02+0.000000000000000000e+00j)  (2.169055606847732514e+07+0.000000000000000000e+00j)  (-6.136356673031718856e+03-1.348855752856911067e+03j)  (-6.136356673031718856e+03+1.348855752856911067e+03j)  (5.347407437027952959e+00+0.000000000000000000e+00j)
 (3.000000000000000583e-02+0.000000000000000000e+00j)  (3.250804909477837384e+07+0.000000000000000000e+00j)  (-9.408384383996186443e+03+4.575687481979735821e+03j)  (-9.408384383996186443e+03-4.575687481979735821e+03j)  (9.915135428466374634e+00+0.000000000000000000e+00j)
 (4.000000000000000083e-02+0.000000000000000000e+00j)  (2.620690897562013939e+07+0.000000000000000000e+00j)  (-1.553890041631225358e+03+1.995965348174534483e+03j)  (-1.553890041631225358e+03-1.995965348174534483e+03j)  (4.081864074388521502e+00+0.000000000000000000e+00j)
 (5.000000000000000278e-02+0.000000000000000000e+00j)  (1.580092646036110818e+07+0.000000000000000000e+00j)  (-7.245550557815849061e+03+1.716160874243196758e+03j)  (-7.245550557815849061e+03-1.716160874243196758e+03j)  (5.323984576648181921e+00+0.000000000000000000e+00j)
 (6.000000000000001166e-02+0.000000000000000000e+00j)  (2.416911110536563396e+07+0.000000000000000000e+00j)  (-2.577256656647338787e+03+1.230163889844516234e+02j)  (-2.577256656647338787e+03-1.230163889844516234e+02j)  (2.344755615051852704e+00+0.000000000000000000e+00j)
 (6.999999999999999278e-02+0.000000000000000000e+00j)  (7.466635956131309271e+07+0.000000000000000000e+00j)  (-1.035581036823223621e+04+1.195034043375692818e+04j)  (-1.035581036823223621e+04-1.195034043375692818e+04j)  (4.305829000241404358e+00+0.000000000000000000e+00j)
 (8.000000000000000167e-02+0.000000000000000000e+00j)  (5.269000303042118996e+07+0.000000000000000000e+00j)  (-1.280049394640058563e+04+5.012029721697112109e+03j)  (-1.280049394640058563e+04-5.012029721697112109e+03j)  (5.369232554515885880e+00+0.000000000000000000e+00j)
 (9.000000000000001055e-02+0.000000000000000000e+00j)  (5.134468688616845012e+07+0.000000000000000000e+00j)  (-2.129674254979611578e+04+4.315847063859744594e+03j)  (-2.129674254979611578e+04-4.315847063859744594e+03j)  (1.189172290367636009e+01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j)  (1.051236447818632238e+07+0.000000000000000000e+00j)  (-2.391426481705880633e+03-2.687108892247180847e+03j)  (-2.391426481705880633e+03+2.687108892247180847e+03j)  (2.170671552467612564e+00+0.000000000000000000e+00j)
 (1.100000000000000006e-01+0.000000000000000000e+00j)  (2.587279030615419522e+07+0.000000000000000000e+00j)  (-7.149402657606260618e+03-4.763494057044790679e+02j)  (-7.149402657606260618e+03+4.763494057044790679e+02j)  (3.925005081963369058e+00+0.000000000000000000e+00j)
 (1.200000000000000233e-01+0.000000000000000000e+00j)  (5.468241840328083187e+07+0.000000000000000000e+00j)  (-7.436627743745420048e+03-1.862272437861949356e+03j)  (-7.436627743745420048e+03+1.862272437861949356e+03j)  (4.582977641264535329e+00+0.000000000000000000e+00j)
