# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
6.502601040416166045e-01 8.182654818977308460e+06 5.649168839303391986e+06 1.591752720592119807e+01 1.524630466948011787e+01
6.602641056422569044e-01 5.238740099918287247e+06 6.433084222718399018e+06 1.547159158844025484e+01 1.546544747511153162e+01
6.702681072428972042e-01 6.432300472132408060e+06 6.220101086485399865e+06 1.567684280394453467e+01 1.538471538157799756e+01
6.802721088435373931e-01 1.473546885311066359e+07 6.227449880231225863e+06 1.650576799265760286e+01 1.538577703962086396e+01
6.902761104441776929e-01 6.816853644208856858e+05 6.899948117906473577e+06 1.343232348788304087e+01 1.547924636113419439e+01
7.002801120448178818e-01 7.689873022763711400e+06 7.312146207305900753e+06 1.585541482935118651e+01 1.555708073682434822e+01
7.102841136454581816e-01 9.473443775843475014e+06 7.163257000851860270e+06 1.606400305014946284e+01 1.553677759417147897e+01
7.202881152460984815e-01 1.637881529660682660e+06 7.346434473013174720e+06 1.430891421456500545e+01 1.556636210241140894e+01
7.302921168467386703e-01 6.962493995158845559e+06 6.967278527794042602e+06 1.575604830076256135e+01 1.547133789168068496e+01
7.402961184473789702e-01 1.151652007898643427e+07 5.789003997645301744e+06 1.625929309112085974e+01 1.527890448528158274e+01
7.503001200480192701e-01 7.882546269392203540e+06 6.014297639263837598e+06 1.588016154027213034e+01 1.541833469730004857e+01
7.603041216486594589e-01 6.544873547982866876e+06 5.954498072843746282e+06 1.569419263673962917e+01 1.541020542016606676e+01
7.703081232492997588e-01 7.253692293692744337e+06 6.557637197392391041e+06 1.579702117907950409e+01 1.545846196068917777e+01
7.803121248499399476e-01 2.261585074721945915e+06 7.425656200897417031e+06 1.463157648590657267e+01 1.563312263671958213e+01
7.903161264505801364e-01 1.774449021474523703e+06 7.716787077663251199e+06 1.438900052226747306e+01 1.566752319816834316e+01
8.003201280512205473e-01 3.159915422224773560e+06 7.403284276277742349e+06 1.496605582008615976e+01 1.563517063055141953e+01
8.103241296518607362e-01 7.032077792142705992e+06 7.223006759192442521e+06 1.576599278087735811e+01 1.560882658793942213e+01
8.203281312525010360e-01 1.610797414587857202e+07 7.807173149336749688e+06 1.659482499590368221e+01 1.567100942292277921e+01
8.303321328531412249e-01 1.118609056821596995e+07 7.265331364451869391e+06 1.623018165089945697e+01 1.551426297199917848e+01
8.403361344537814137e-01 1.016493363958301209e+07 7.372385415531355888e+06 1.613445447669892729e+01 1.555236906629636273e+01
8.503401360544218246e-01 8.067989263745846227e+06 7.445880213886564597e+06 1.590341484733471056e+01 1.558649812638421928e+01
8.603441376550620134e-01 5.899493581453897990e+06 8.013838454125015996e+06 1.559037707154014818e+01 1.568567606375935775e+01
8.703481392557023133e-01 1.297070383957024664e+07 8.405009320787891746e+06 1.637820382155657484e+01 1.572907690886755105e+01
8.803521408563426132e-01 1.293432659959073411e+06 7.179465986255655065e+06 1.407281021891988715e+01 1.556421573688339421e+01
8.903561424569828020e-01 3.439179636596287601e+06 6.925688391328434460e+06 1.505074352317560660e+01 1.553811665025232536e+01
9.003601440576229908e-01 2.582891803381828591e+06 6.247149541539359838e+06 1.476442018323388083e+01 1.541763305802913209e+01
9.103641456582631797e-01 9.407456064847724512e+06 5.773761576605692506e+06 1.605701313121269891e+01 1.532337575154041787e+01
9.203681472589037016e-01 1.133495732543435693e+07 5.278856540979308076e+06 1.624340207706748274e+01 1.509054463895874498e+01
9.303721488595438904e-01 2.626997466023959219e+06 5.203621983002909459e+06 1.478135210407793032e+01 1.508455098400576055e+01
9.403761504601840793e-01 8.394537024016542360e+06 5.383461722999311052e+06 1.594309169795771375e+01 1.516891469635097600e+01
9.503801520608243791e-01 2.701006291903192643e+06 5.726652750249324366e+06 1.480913496224378711e+01 1.523626283814423665e+01
9.603841536614645680e-01 2.860721649475496262e+06 6.347209906252346002e+06 1.486658447595887012e+01 1.535378640483342672e+01
9.703881552621047568e-01 4.555381895636742120e+05 6.381274319323202595e+06 1.302923483314173048e+01 1.535733715178196057e+01
9.803921568627450567e-01 1.214312370182986930e+07 5.527445772065709345e+06 1.631227361707373902e+01 1.519699724291300313e+01
9.903961584633853565e-01 3.271669799919490237e+06 5.932899393142534420e+06 1.500081105471730147e+01 1.528721713213106170e+01
1.000400160064025545e+00 7.214280936346435919e+06 5.301857586690451950e+06 1.579157308290144357e+01 1.512777189052381566e+01
1.010404161664665956e+00 9.409020519415065646e+06 5.154568206457428634e+06 1.605717941681499283e+01 1.504450811641967434e+01
1.020408163265305923e+00 9.782164608627159148e+06 5.139711594509157352e+06 1.609607134764657843e+01 1.503916056674300528e+01
1.030412164865946556e+00 1.942843305601920001e+06 5.567190872558976524e+06 1.447966307950894560e+01 1.525977764344522214e+01
1.040416166466586745e+00 7.086987297869041562e+06 4.837888343626951799e+06 1.577377088547655504e+01 1.516153066719263798e+01
1.050420168067226934e+00 1.453077153043626808e+06 4.739089550181823783e+06 1.418919404027803566e+01 1.512482719595757885e+01
1.060424169667867123e+00 1.080823109339922434e+06 4.656435973452719860e+06 1.389323344709821129e+01 1.511258128425843239e+01
1.070428171268507311e+00 2.697298918044527527e+06 4.492032750208390877e+06 1.480776142951551932e+01 1.509317731767188597e+01
1.080432172869147722e+00 5.157810248111683875e+06 3.667498053007759154e+06 1.545602267686610176e+01 1.485500996772974602e+01
1.090436174469787911e+00 4.120795883577595465e+06 4.121700395306466613e+06 1.523155687829533100e+01 1.497073861357838176e+01
1.100440176070428322e+00 2.184883072023076005e+06 4.102380387782179751e+06 1.459707287113165641e+01 1.496797077876494519e+01
1.110444177671068511e+00 6.305091592326292768e+06 4.602190445813691244e+06 1.565686805421082006e+01 1.511026171471233326e+01
1.120448179271708700e+00 7.600585063727444969e+06 5.579899952371601947e+06 1.584373578436299290e+01 1.532784275002695829e+01
1.130452180872348888e+00 7.122829394202184631e+05 7.000875100630832836e+06 1.347623049828303010e+01 1.550204097435246986e+01
1.140456182472989077e+00 6.939069070887707174e+06 6.754385932133924216e+06 1.575267818384392093e+01 1.543423347005143320e+01
1.150460184073629488e+00 6.874467215101877227e+06 7.246462869771730155e+06 1.574332470252875815e+01 1.551048624338332260e+01
1.160464185674269677e+00 6.950987791390251368e+06 7.302448329487683252e+06 1.575439433569930081e+01 1.553306036438252491e+01
1.170468187274910088e+00 1.183562768147693947e+07 7.446981745106686838e+06 1.628662483555908835e+01 1.555350281702591175e+01
1.180472188875550055e+00 1.832802554889607802e+07 7.244511506908458658e+06 1.672394189709616796e+01 1.552197899381206980e+01
1.190476190476190466e+00 2.446429394645688590e+06 7.969849928975541145e+06 1.471014012955470029e+01 1.574939433103281239e+01
1.200480192076830877e+00 9.533642197593463585e+06 7.650694302160521038e+06 1.607033738494612152e+01 1.568529556404230796e+01
1.210484193677471065e+00 2.800723128898550291e+06 7.480971037550899200e+06 1.484538820212288712e+01 1.565648873690446941e+01
1.220488195278111254e+00 7.894959164135341533e+06 7.124370312961904332e+06 1.588173503328805758e+01 1.558095637201410355e+01
1.230492196878751443e+00 5.373412443546933122e+06 6.789328329196277075e+06 1.549697372901073500e+01 1.554704037204845690e+01
1.240496198479391854e+00 8.691005582158137113e+06 5.662389187186725438e+06 1.597779920771120210e+01 1.544448388709814246e+01
1.250500200080031821e+00 3.428357175922476687e+06 7.488300146524377167e+06 1.504759174694835799e+01 1.564632775410536247e+01
1.260504201680672454e+00 5.007511304396037944e+06 7.273671949131533504e+06 1.542644960401253051e+01 1.562046046235957064e+01
1.270508203281312642e+00 3.028379820911312476e+06 7.693090698284391314e+06 1.492353832190527996e+01 1.570896381553574273e+01
1.280512204881952609e+00 8.150165860055042431e+06 7.592921724600071087e+06 1.591354883593696634e+01 1.569529863213466570e+01
1.290516206482593020e+00 5.931694986790993251e+06 7.282389809881201945e+06 1.559582056264270733e+01 1.560350193527139773e+01
1.300520208083233209e+00 2.253144994735985622e+07 6.884029924663702957e+06 1.693042266663413642e+01 1.553972266983550554e+01
1.310524209683873842e+00 7.172732026272189803e+06 6.884853793218223378e+06 1.578579717574240604e+01 1.553996266278729799e+01
1.320528211284513809e+00 7.414329369579977356e+06 6.527881298910334706e+06 1.581892508706076939e+01 1.540057859841027366e+01
1.330532212885153998e+00 6.793100453607833013e+06 7.243793793414716609e+06 1.573141801587623512e+01 1.551703755170972698e+01
1.340536214485794408e+00 1.957561381639358355e+06 6.829874509035224095e+06 1.448721006351478380e+01 1.544268089940062971e+01
1.350540216086434375e+00 4.309046844765641727e+06 7.403193994150302373e+06 1.527622728791638096e+01 1.550852207799766447e+01
1.360544217687074786e+00 3.437419730022209231e+06 5.516562641369357705e+06 1.505023166941805179e+01 1.527769126460065685e+01
1.370548219287715197e+00 1.080813867009274662e+06 5.359594173447974958e+06 1.389322489586528064e+01 1.525265574280384229e+01
1.380552220888355386e+00 1.090341726045950688e+07 5.127178209571020678e+06 1.620458680819923813e+01 1.521421588954023996e+01
1.390556222488995575e+00 3.597053731880624313e+06 5.520486564590947703e+06 1.509562566053689459e+01 1.525901517851149691e+01
1.400560224089635764e+00 1.223820932305684499e+07 6.045283500069744885e+06 1.632007352721010562e+01 1.538387442812867434e+01
1.410564225690276174e+00 1.778505066769469064e+06 6.010357900478178635e+06 1.439128371926704908e+01 1.537538490897356525e+01
1.420568227290916363e+00 5.446078879136976786e+06 6.097988886452206410e+06 1.551040643597745472e+01 1.539785696383079561e+01
1.430572228891556774e+00 4.857753766933480278e+06 6.400946367739495821e+06 1.539608670116117040e+01 1.552575867569851731e+01
1.440576230492196963e+00 1.111949235882703215e+07 5.684979522974290885e+06 1.622421019456004387e+01 1.540928177365103302e+01
1.450580232092837152e+00 7.730327671906123869e+06 5.793954031151744537e+06 1.586066180930375680e+01 1.543542903451201376e+01
1.460584233693477341e+00 3.924865249258419033e+06 5.042739661301257089e+06 1.518284257721018093e+01 1.533319488523559748e+01
1.470588235294117530e+00 4.401360575736510567e+06 5.478294994697974063e+06 1.529742427284759287e+01 1.545198414678978338e+01
1.480592236894757940e+00 4.413346161169455387e+06 5.355929013567393646e+06 1.530014372641019627e+01 1.542617542347969462e+01
1.490596238495398129e+00 3.027781968042264227e+06 5.170577024083619006e+06 1.492334088567691452e+01 1.537669943871608780e+01
1.500600240096038540e+00 4.795773321832619607e+06 4.391754476461702026e+06 1.538324553000768802e+01 1.524291324109665879e+01
1.510604241696678729e+00 3.974851254701484460e+06 4.040354519091230817e+06 1.519549788516953193e+01 1.517989431730077499e+01
1.520608243297318918e+00 6.569613734133351594e+06 4.681408933321641758e+06 1.569796559636310107e+01 1.527338716341018809e+01
1.530612244897959107e+00 4.100053086700581014e+06 4.537151788655298762e+06 1.522651047956646408e+01 1.523274009751258440e+01
1.540616246498599518e+00 2.818881882611966226e+06 4.271934083033097908e+06 1.485185086876149008e+01 1.513438820873954782e+01
1.550620248099239706e+00 2.552444334985945374e+06 4.410350584060981870e+06 1.475256202074631062e+01 1.517142246216052470e+01
1.560624249699879895e+00 3.864928140830939170e+06 4.405848195808397606e+06 1.516745364754904557e+01 1.517047875663316603e+01
1.570628251300520306e+00 1.097646380579294451e+07 4.134362211975421291e+06 1.621126388441371446e+01 1.504397435046479536e+01
1.580632252901160273e+00 2.814531984406735282e+06 4.471963351605163887e+06 1.485030654797397709e+01 1.508470698790942421e+01
1.590636254501800906e+00 1.495951399325249018e+06 4.273108313374786638e+06 1.421827294990679036e+01 1.501538776729153213e+01
1.600640256102441095e+00 4.550363479348982684e+06 4.321459545261363499e+06 1.533071767330765667e+01 1.503110072435594979e+01
1.610644257703081283e+00 4.746247051054192707e+06 4.316507918128225952e+06 1.537286476920674261e+01 1.502913977125950140e+01
1.620648259303721472e+00 9.885054325387423160e+05 4.082273639330078848e+06 1.380394941731745639e+01 1.492926886889380356e+01
1.630652260904361661e+00 1.028322627006052621e+07 3.847251570981819183e+06 1.614602460825403085e+01 1.490485366164519299e+01
1.640656262505002072e+00 1.912647666166422190e+06 4.482320408437359147e+06 1.446399905276961739e+01 1.501827328937882378e+01
1.650660264105642261e+00 3.350745433364319149e+06 4.767613733115359209e+06 1.502469339647010393e+01 1.512106387472106306e+01
1.660664265706282450e+00 2.497976436521425843e+06 4.437659453529987484e+06 1.473099153668538897e+01 1.497582319980613796e+01
1.670668267306922861e+00 1.288351074051325442e+06 4.081647311436859425e+06 1.406887372152637461e+01 1.481731892105931792e+01
1.680672268907562827e+00 8.391221053962092847e+06 5.663597402338918298e+06 1.594269660467897332e+01 1.508307944925674349e+01
1.690676270508203238e+00 9.800289196417676285e+06 5.479543128667934798e+06 1.609792245304393177e+01 1.506314713782771975e+01
1.700680272108843649e+00 4.634177970783242956e+06 6.406744310487720184e+06 1.534896938867143845e+01 1.523093774674052803e+01
1.710684273709483838e+00 9.208664039098939393e+05 6.602100809430550784e+06 1.373307024924345399e+01 1.527598362785092156e+01
1.720688275310124027e+00 8.301134880297861528e+05 6.889515716523123905e+06 1.362931770299174339e+01 1.535033469251933980e+01
1.730692276910764216e+00 1.838995643246139213e+07 7.278293618594008498e+06 1.672731522748913946e+01 1.548334535511602361e+01
1.740696278511404627e+00 8.258629259679705836e+06 7.783979431408587843e+06 1.592676918253475193e+01 1.552957838395670365e+01
1.750700280112044593e+00 1.211186066618406586e+07 7.605813626968032680e+06 1.630969575081050849e+01 1.550929531969113917e+01
1.760704281712685226e+00 5.499666921735456213e+06 7.683520290481969714e+06 1.552019808868442574e+01 1.552468426341505037e+01
