# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
6.961863700765555385e-03 1.502721698442523006e-02 1.534995502526709821e+01 1.659810366765847589e-01 6.033034277561688530e-01 1.001369283695059675e-01
1.022029333031307906e-02 1.502721698442523006e-02 1.537039561192772474e+01 1.686800922972884753e-01 6.157622022959701180e-01 1.038668251164658468e-01
-1.766291470877545677e-02 1.502721698442523006e-02 1.533506978251017472e+01 1.713366351327402226e-01 5.943896164860813514e-01 1.018407168465651214e-01
-5.406468787035041516e-04 1.502721698442523006e-02 1.533398848875276776e+01 1.739526129145456401e-01 5.937472540581364422e-01 1.032838862542493907e-01
1.411757350443588327e-02 1.502721698442523006e-02 1.536222363576163907e+01 1.765298290402665671e-01 6.107507130296571107e-01 1.078157189573462765e-01
-8.585594998192485477e-03 1.502721698442523006e-02 1.534505244576525484e+01 1.790699571178084037e-01 6.003529231891475693e-01 1.075051722110315633e-01
1.918847627601007622e-03 1.502721698442523006e-02 1.534889014102045657e+01 1.815745536779912461e-01 6.026613213851639284e-01 1.094279604494995811e-01
-4.591476501560474294e-03 1.502721698442523006e-02 1.533970718801733568e+01 1.840450693296338258e-01 5.971524433899867423e-01 1.099029628440703482e-01
-1.187659357567998931e-02 1.502721698442523006e-02 1.531595400086597536e+01 1.864828585842079889e-01 5.831353045544787062e-01 1.087447385346919093e-01
1.897004462948753689e-02 1.502721698442523006e-02 1.535389409012494966e+01 1.888891885390101000e-01 6.056845657366781710e-01 1.144072661326038659e-01
3.607752152233487108e-02 1.502721698442523006e-02 1.542604913316962012e+01 1.912652465768773513e-01 6.510030810615550223e-01 1.245142648215451925e-01
4.773630519628425418e-03 1.502721698442523006e-02 1.543559639420887564e+01 1.936121472152552980e-01 6.572481415888717926e-01 1.272512239462575967e-01
7.745084059905238058e-03 1.502721698442523006e-02 1.545108656232868682e+01 1.959309382167341296e-01 6.675082863266655897e-01 1.307855248074279997e-01
-6.281323429491437972e-04 1.502721698442523006e-02 1.544983029764278726e+01 1.982226060561147751e-01 6.666702457496156420e-01 1.321491134925592836e-01
9.371623493570336444e-03 1.502721698442523006e-02 1.546857354462992618e+01 2.004880808249349944e-01 6.792836496318136463e-01 1.361882752504398608e-01
4.885856235656105793e-03 1.502721698442523006e-02 1.547834525710123899e+01 2.027282406426239858e-01 6.859539512001716632e-01 1.390622376886671563e-01
1.283912473474447917e-02 1.502721698442523006e-02 1.550402350657072859e+01 2.049439156336231582e-01 7.037961456670561722e-01 1.442387379008583104e-01
-3.364248034033714453e-03 1.502721698442523006e-02 1.549729501050266123e+01 2.071358915215555929e-01 6.990765517584432986e-01 1.448038447903000625e-01
1.674975646760257578e-02 1.502721698442523006e-02 1.553079452343786571e+01 2.093049128845704820e-01 7.228919507505289221e-01 1.513048367767966806e-01
6.517083912365838165e-03 1.502721698442523006e-02 1.554382869126259692e+01 2.114516861101032319e-01 7.323759193061238904e-01 1.548621230037167951e-01
7.207593717068926792e-03 1.502721698442523006e-02 1.555824387869673586e+01 2.135768820822928349e-01 7.430097153979079438e-01 1.586896983715369303e-01
-1.822603056124899937e-02 1.502721698442523006e-02 1.552179181757423621e+01 2.156811386310393541e-01 7.164131741646987406e-01 1.545168091341193317e-01
-2.257111141844023953e-03 1.502721698442523006e-02 1.551727759529054751e+01 2.177650627680427775e-01 7.131864144844111131e-01 1.553070843155131553e-01
1.140942800403117220e-02 1.502721698442523006e-02 1.554009645129860928e+01 2.198292327320404416e-01 7.296476111488195970e-01 1.603978745236112335e-01
-7.790973558737899346e-03 1.502721698442523006e-02 1.552451450418113410e+01 2.218741998627726808e-01 7.183664005240173456e-01 1.593869703245664460e-01
1.081805377623227572e-02 1.502721698442523006e-02 1.554615061173359791e+01 2.239004903208869357e-01 7.340784137090418104e-01 1.643605167634333564e-01
-2.882177160810145064e-02 1.502721698442523006e-02 1.548850706851739645e+01 2.259086066689836858e-01 6.929600227930332590e-01 1.565456332264812955e-01
-2.205035340382889217e-02 1.502721698442523006e-02 1.544440636170973846e+01 2.278990293272649403e-01 6.630640577554117732e-01 1.511116551442558686e-01
-1.655121126175060006e-02 1.502721698442523006e-02 1.541130393918623653e+01 2.298722179157315082e-01 6.414743385706441758e-01 1.474571289432608512e-01
4.147544581630227892e-03 1.502721698442523006e-02 1.541959902834949681e+01 2.318286124935521331e-01 6.468175559993276647e-01 1.499508165437945795e-01
-1.492896645013517577e-02 1.502721698442523006e-02 1.538974109544922619e+01 2.337686347050723368e-01 6.277903902652267609e-01 1.467577024132666053e-01
4.532473864450005906e-03 1.502721698442523006e-02 1.539880604317812640e+01 2.356926888409174581e-01 6.335071492513661973e-01 1.493130034069989065e-01
2.745316179178725058e-02 1.502721698442523006e-02 1.545371236676169957e+01 2.376011628217537253e-01 6.692633357438450004e-01 1.590177468067033306e-01
1.297849395867987053e-02 1.502721698442523006e-02 1.547966935467906069e+01 2.394944291114879387e-01 6.868628227499731231e-01 1.644998196124099477e-01
1.313432771384568862e-03 1.502721698442523006e-02 1.548229622022182994e+01 2.413728455659946703e-01 6.886694909299612144e-01 1.662261146802496981e-01
-4.455943095863537130e-03 1.502721698442523006e-02 1.547338433403010427e+01 2.432367562228486546e-01 6.825594134002131996e-01 1.660235376448382372e-01
-8.584090580755716904e-03 1.502721698442523006e-02 1.545621615286859196e+01 2.450864920369980327e-01 6.709411275251103701e-01 1.644386073084774247e-01
2.022195343733020415e-02 1.502721698442523006e-02 1.549666005974325245e+01 2.469223715668337205e-01 6.986328134619118613e-01 1.725080711544246248e-01
1.265513428509237176e-02 1.502721698442523006e-02 1.552197032831343648e+01 2.487447016146825951e-01 7.165410730253121141e-01 1.782357954043457537e-01
-8.525703143748111432e-03 1.502721698442523006e-02 1.550491892202594002e+01 2.505537778253711934e-01 7.044266178383432608e-01 1.764967503001459437e-01
3.235358929551658221e-04 1.502721698442523006e-02 1.550556599381184952e+01 2.523498852461666386e-01 7.048825799321840613e-01 1.778770381579085347e-01
1.577172652123478430e-02 1.502721698442523006e-02 1.553710944685431983e+01 2.541332988510979218e-01 7.274714022823772774e-01 1.848747072818546777e-01
-2.872484729243442170e-02 1.502721698442523006e-02 1.547965975226945190e+01 2.559042840323886847e-01 6.868562272434703964e-01 1.757694510659279508e-01
-2.155255708173313411e-03 1.502721698442523006e-02 1.547534924085310593e+01 2.576630970614873228e-01 6.839018975449067117e-01 1.762162810076486341e-01
1.220879498989607334e-02 1.502721698442523006e-02 1.549976683083289686e+01 2.594099855219637596e-01 7.008066807946248256e-01 1.817962509186290820e-01
-1.935364242464502824e-02 1.502721698442523006e-02 1.546105954598360555e+01 2.611451887163411256e-01 6.741986415051178794e-01 1.760637314681548216e-01
-2.937810448799795405e-03 1.502721698442523006e-02 1.545518392508600769e+01 2.628689380487573279e-01 6.702489207717833297e-01 1.761876220316043740e-01
2.633000791231636557e-03 1.502721698442523006e-02 1.546044992666847051e+01 2.645814573851867912e-01 6.737877622437102865e-01 1.782717481027445705e-01
1.930793554647797228e-02 1.502721698442523006e-02 1.549906579776142479e+01 2.662829633928115447e-01 7.003155642992449081e-01 1.864821037717119823e-01
1.661602365343715915e-02 1.502721698442523006e-02 1.553229784506829958e+01 2.679736658599971566e-01 7.239795071252491665e-01 1.940074425318669415e-01
5.109128717734172549e-03 1.502721698442523006e-02 1.554251610250376814e+01 2.696537679982117242e-01 7.314152415325574363e-01 1.972288758505762463e-01
-3.180129344836345965e-03 1.502721698442523006e-02 1.553615584381409676e+01 2.713234667271177680e-01 7.267780140026162128e-01 1.971919303002395707e-01
-2.096659188290081119e-02 1.502721698442523006e-02 1.549422266004829396e+01 2.729829529439693481e-01 6.969320396303139153e-01 1.902505661795465541e-01
-3.479868072743545065e-02 1.502721698442523006e-02 1.542462529859342268e+01 2.746324117783576213e-01 6.500768199433162309e-01 1.785321649022380830e-01
1.371422689396951770e-02 1.502721698442523006e-02 1.545205375238136014e+01 2.762720228332672945e-01 6.681542060144737283e-01 1.845923140601742618e-01
-6.798833418530088844e-03 1.502721698442523006e-02 1.543845608554429916e+01 2.779019604133323718e-01 6.591303584014472916e-01 1.831736187677046046e-01
-6.174595796828506560e-03 1.502721698442523006e-02 1.542610689395064227e+01 2.795223937411121518e-01 6.510406845939590292e-01 1.819804505805558414e-01
-1.410826608930364386e-02 1.502721698442523006e-02 1.539789036177203485e+01 2.811334871621474774e-01 6.329273240422660374e-01 1.779370657282087487e-01
2.031766408816557123e-02 1.502721698442523006e-02 1.543852568994836716e+01 2.827354003395000093e-01 6.591762383739525610e-01 1.863724576509451780e-01
-1.224123067138869862e-02 1.502721698442523006e-02 1.541404322860558906e+01 2.843282884384269460e-01 6.432339313557372540e-01 1.828896027678973968e-01
2.231270493054565100e-03 1.502721698442523006e-02 1.541850576959169850e+01 2.859123023017955401e-01 6.461108034436376935e-01 1.847310273546333426e-01
1.044946944461510457e-02 1.502721698442523006e-02 1.543940470848092872e+01 2.874875886167980177e-01 6.597559212423740327e-01 1.896716388736242043e-01
4.333797390587951215e-03 1.502721698442523006e-02 1.544807230326210501e+01 2.890542900734899834e-01 6.654992727873421110e-01 1.923654198399690207e-01
1.151037705981100209e-02 1.502721698442523006e-02 1.547109305738172580e+01 2.906125455156354787e-01 6.809972712884598822e-01 1.979063504983410993e-01
-6.681147455685597022e-03 1.502721698442523006e-02 1.545773076247035505e+01 2.921624900843112771e-01 6.719581113714097054e-01 1.963209550506220535e-01
