# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 100 ps, print_step = 1.0 fs
# Temperature = 983.172635 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
Temp c_flux1[1] c_flux1[2] c_flux1[3]
926.95979 1818.7536 583.40133 -646.20884
948.36751 1888.0476 440.7563 -654.82982
972.79623 1925.2874 276.07324 -625.31509
997.25135 1934.702 90.727051 -558.94063
1018.7188 1920.6612 -112.45054 -460.61979
1034.6354 1886.3423 -329.3153 -338.33885
1043.336 1832.9833 -554.72669 -202.31896
1044.378 1760.1056 -782.94461 -63.946104
1038.6624 1666.7136 -1008.0821 65.36482
1028.2951 1552.6182 -1224.414 175.55639
1016.1929 1419.3924 -1426.573 259.18317
1005.4948 1270.3982 -1609.8647 312.49135
998.88559 1110.3784 -1770.4454 335.82408
997.97731 944.81263 -1905.195 333.28339
1002.9169 779.379 -2011.2459 311.86415
1012.3525 619.43073 -2085.5401 280.50661
1023.7977 469.57413 -2124.9288 249.01429
1034.2972 332.92821 -2126.8929 227.29574
1041.1987 210.58744 -2090.5692 224.5017
1042.8127 101.18086 -2017.5742 248.13905
1038.7928 0.63050222 -1912.3114 302.79434
1030.1662 -97.583517 -1781.3594 388.90284
1019.032 -201.56138 -1632.2564 501.82096
1008.0125 -319.59272 -1472.0372 631.7544
999.59153 -458.37292 -1305.9025 764.87965
995.48332 -621.43695 -1136.4687 885.53762
996.17827 -808.07962 -963.90334 979.17105
1000.7847 -1013.0779 -786.92587 1035.0233
1007.2398 -1227.1359 -604.0227 1047.8258
1012.8691 -1437.9991 -414.74229 1018.1289
1015.1595 -1632.0326 -220.41848 951.35987
1012.5216 -1796.1429 -24.150195 856.29583
1004.7994 -1919.4099 169.874 743.39419
993.34554 -1994.3235 357.37556 623.51369
980.61943 -2017.1196 534.8311 507.10095
969.43189 -1987.4434 700.10668 403.35244
962.10147 -1907.6179 852.37886 319.50718
959.83107 -1781.8242 991.75237 259.81835
962.52485 -1615.7656 1118.7088 224.71975
969.05951 -1416.5225 1233.6584 210.61503
977.83258 -1192.7245 1336.95 210.44266
987.32211 -954.55317 1429.2984 215.20159
996.44125 -713.27948 1512.3402 215.986
1004.6004 -479.93335 1588.8982 205.98801
1011.5281 -263.74931 1662.7953 181.75642
1016.9959 -70.839705 1737.9677 143.57389
1020.6051 96.444084 1817.163 94.626901
1021.7333 239.21184 1900.7621 39.454843
1019.6571 361.13499 1986.0787 -17.878041
1013.8102 466.97549 2067.2823 -75.063202
1004.0957 560.99806 2136.0606 -132.03021
991.1318 645.45176 2182.7684 -190.33747
976.31566 719.75261 2197.7664 -251.85722
961.64016 780.20178 2172.88 -317.40119
949.28028 820.58705 2102.3777 -385.61215
941.05433 833.35379 1983.1198 -452.58567
937.93922 811.36729 1814.5165 -512.39988
939.82084 749.91227 1598.0563 -558.50227
945.56824 648.29337 1337.1948 -585.57192
953.3987 510.56995 1037.3362 -590.936
961.40253 345.06015 705.61551 -575.11853
968.05937 163.01784 350.68685 -541.48558
972.60681 -23.246465 -17.734676 -495.08022
975.18608 -202.07467 -389.17478 -441.28874
976.74483 -363.62194 -752.70532 -384.48471
978.72669 -500.57274 -1097.2801 -327.24717
982.62007 -608.13598 -1412.1923 -270.45849
989.47326 -683.69127 -1687.6976 -213.8729
999.51062 -726.23487 -1915.8601 -157.01313
1011.9659 -735.92751 -2091.1894 -100.10179
1025.1921 -713.68321 -2211.1311 -44.480497
1037.0223 -661.10355 -2276.182 7.5496559
1045.2761 -580.59298 -2289.6406 53.541578
1048.2515 -475.71184 -2257.0142 91.940251
1045.0696 -351.45139 -2185.116 123.13226
1035.7932 -214.41355 -2080.9474 149.93965
1021.3252 -72.280883 -1950.7338 177.3542
1003.1498 67.064624 -1799.0364 211.48213
982.99498 196.63571 -1628.5155 258.0432
962.50971 311.31284 -1440.2271 320.58446
943.03549 408.19568 -1234.2645 398.94336
925.52176 486.23901 -1010.7952 488.19586
910.58532 545.32117 -770.87932 578.78435
898.66537 585.13216 -517.23782 657.72132
890.18699 604.54495 -254.38538 710.94197
885.63275 601.64033 11.44087 726.10609
885.45557 574.50927 272.82446 695.06406
889.85157 522.40892 521.94402 615.37224
898.50951 446.78882 751.56564 490.19332
910.49818 351.97716 955.68522 327.27792
924.39929 245.18304 1130.0616 136.94007
938.6641 136.10868 1272.3921 -70.024639
952.05525 35.680134 1382.453 -283.84104
963.9806 -45.310524 1462.0262 -496.422
974.56417 -97.92336 1514.5436 -700.84122
984.4043 -116.26161 1544.4487 -890.57755
994.11594 -98.473174 1556.245 -1058.7981
1003.8511 -47.217405 1553.4705 -1198.4778
1013.0063 30.467531 1537.7815 -1303.1333
1020.2461 124.02451 1508.2714 -1367.9589
1023.8455 221.00507 1461.2944 -1390.8628
1022.2363 308.96713 1391.026 -1372.7455
1014.5751 377.39773 1290.9631 -1317.2033
1001.1456 419.15192 1155.9527 -1229.4107
983.45649 431.12736 984.26016 -1114.7669
964.00038 414.27194 779.04347 -977.51889
945.73409 372.93553 548.45155 -819.99148
931.4314 313.75207 304.34245 -642.58956
923.08827 244.51 60.121127 -444.55382
921.537 172.88207 -171.81865 -225.36664
926.36563 105.43917 -381.99214 13.941438
936.14184 46.795788 -564.90912 270.04256
948.86176 -0.99133098 -718.85357 537.17055
962.48148 -38.616978 -844.93573 807.92146
975.37191 -69.598106 -945.83371 1074.1916
986.58714 -99.794787 -1024.4647 1328.4221
995.8975 -136.72292 -1083.3577 1563.9958
1003.6059 -188.41889 -1124.3555 1775.3006
1010.2319 -262.01569 -1148.677 1957.3244
1016.185 -362.22557 -1156.9165 2105.2577
1021.542 -490.0494 -1149.1715 2214.469
1025.9964 -641.90855 -1125.2816 2280.7596
1028.9789 -809.51023 -1085.1402 2300.8037
1029.8907 -980.60012 -1029.2537 2272.4495
1028.3516 -1140.6112 -959.04666 2195.0342
1024.3712 -1274.9906 -877.1017 2069.6231
1018.3894 -1371.5951 -787.10258 1899.2431
1011.188 -1422.6223 -693.58796 1688.8182
1003.7257 -1425.3951 -601.3982 1445.0109
996.95129 -1381.8985 -515.13693 1175.6289
991.64115 -1297.4421 -438.68467 888.81615
988.27573 -1178.976 -374.80251 592.18499
986.95709 -1033.7269 -325.14461 291.91782
987.38217 -868.38894 -290.03006 -7.6177036
988.89702 -689.1229 -268.02005 -303.75046
990.64231 -501.9578 -255.42941 -594.79744
991.77343 -313.20027 -246.31055 -878.94233
991.6939 -129.39564 -233.01395 -1153.2543
990.22135 43.518151 -207.44179 -1413.0831
987.62792 201.49472 -162.59405 -1651.9757
984.55225 343.20184 -94.102395 -1862.0988
981.81755 469.74092 -1.2768199 -2035.0269
980.20937 583.28886 112.43355 -2162.6219
980.26339 685.03941 239.97251 -2238.0997
982.10472 773.3244 371.99204 -2257.0293
985.38808 842.69375 498.5779 -2218.0537
989.36631 884.46412 611.12604 -2123.1682
993.08606 888.69959 703.59676 -1977.2795
995.67611 847.19503 773.08007 -1787.3245
996.6408 756.35291 819.7928 -1561.1944
996.04536 618.89033 846.55447 -1307.0834
994.48478 444.03312 858.21446 -1033.5133
992.8213 246.03236 860.87534 -749.61885
991.81111 41.89566 860.78691 -465.23156
991.82064 -151.12861 862.73306 -190.3589
992.77721 -317.83357 868.65488 65.743271
994.35742 -446.6599 877.2022 295.81516
996.28351 -530.67596 883.89932 495.70607
998.55435 -567.58302 881.86457 665.16295
1001.4641 -559.25652 863.06116 807.85118
1005.3746 -510.88393 819.87918 930.47133
1010.352 -430.207 746.85891 1041.1065
1015.8612 -326.80902 641.70035 1147.246
1020.6907 -211.53946 505.56194 1254.0006
1023.1651 -95.741919 342.43449 1362.8507
1021.5619 9.6070725 158.20031 1470.9797
1014.5901 94.837853 -40.215422 1571.4592
1001.7916 152.47819 -245.19884 1654.1734
983.78271 177.86385 -448.60183 1707.4323
962.29076 169.25674 -641.82491 1719.806
939.97033 127.59814 -816.03767 1682.1967
919.99888 55.837029 -962.53788 1589.7301
905.48713 -41.918934 -1073.4896 1442.8926
898.80677 -161.41877 -1142.7833 1247.924
901.00357 -299.15366 -1166.903 1015.9332
911.47651 -453.19278 -1145.4219 761.02413
928.0513 -623.44163 -1080.7063 498.12275
947.46484 -811.20915 -977.01243 240.84204
966.15672 -1018.0276 -839.10836 0.035853646
981.15236 -1244.0141 -671.0628 -216.71147
990.77339 -1486.0374 -475.96185 -405.06772
994.95548 -1736.5588 -256.75853 -563.69704
995.07856 -1983.3585 -18.089835 -694.30668
993.38081 -2210.762 232.21489 -801.78922
992.17232 -2401.7446 482.84325 -893.96184
993.11657 -2540.4253 720.04927 -980.71393
996.80925 -2614.2474 929.73782 -1072.1344
1002.7546 -2615.2674 1099.931 -1176.2512
1009.685 -2540.4734 1222.4576 -1296.8774
1016.0581 -2391.5006 1293.5522 -1432.1929
1020.5251 -2173.9841 1312.7452 -1574.8869
1022.2321 -1897.0073 1281.1499 -1713.4628
1020.9354 -1572.3757 1199.7792 -1834.8289
1016.9754 -1213.8023 1069.0116 -1926.9797
1011.1698 -835.66094 889.44638 -1981.0253
1004.635 -451.47947 663.60865 -1992.1858
998.53297 -72.627699 397.63589 -1959.3545
993.7716 292.745 102.16157 -1883.8083
990.75326 639.71763 -208.13872 -1767.502
989.3004 965.7269 -516.1044 -1611.7787
988.81827 1269.0884 -804.36773 -1417.4261
988.65058 1547.4309 -1057.7241 -1185.6955
988.47268 1796.7767 -1264.887 -920.09654
988.52549 2011.5577 -1419.3464 -627.97964
989.55531 2185.2695 -1519.305 -321.09931
992.4551 2311.6308 -1566.6264 -14.755548
997.76209 2385.5829 -1565.6718 274.24482
1005.2344 2403.9648 -1521.759 530.43939
1013.7005 2365.5842 -1440.0076 742.23392
1021.2489 2270.8754 -1324.5532 903.75447
1025.6929 2121.2395 -1178.3214 1015.1916
1025.1508 1918.7476 -1003.4631 1081.619
1018.5562 1666.0926 -802.19341 1110.591
1005.9574 1367.0973 -577.53962 1109.5285
988.54654 1027.3265 -333.77539 1083.75
968.43901 654.56312 -76.267123 1035.8646
948.28785 259.07935 188.77039 966.34159
930.82654 -146.62585 454.7019 875.16653
918.41296 -548.42391 714.60038 763.90839
912.6277 -931.43175 961.33731 637.12301
913.97344 -1281.1768 1187.457 502.92998
921.74068 -1584.5678 1385.2006 372.22696
934.10457 -1830.6562 1546.622 256.84055
948.47183 -2011.2499 1664.1089 167.30755
962.02877 -2121.2339 1731.2073 110.5781
972.35736 -2158.7782 1743.6378 88.915037
977.94944 -2125.1667 1700.168 99.826769
978.47169 -2024.5439 1603.0917 137.18757
974.70722 -1863.4095 1458.0917 192.80125
968.20797 -1650.2756 1273.8315 257.89784
960.78143 -1395.4297 1061.0545 324.15473
953.99215 -1110.6773 831.63965 384.19492
948.82953 -808.86892 597.63003 431.65451
945.61875 -503.33821 370.14706 460.8778
944.15365 -207.22953 158.69845 466.83109
943.9692 67.351379 -29.281205 445.62518
944.6499 310.07712 -188.60809 395.31405
946.05984 513.00658 -316.25979 316.7001
948.4107 671.02428 -411.13382 213.55839
952.14673 781.97317 -473.95417 92.286449
957.70111 846.63054 -506.98013 -39.082737
965.22152 868.4626 -513.68398 -172.13847
974.36111 853.15237 -498.28466 -299.42965
984.20259 807.74756 -465.19094 -415.66406
