Temp    c_flux[1] c_flux[2] c_flux[3] c_vcm[1][1] c_vcm[1][2] c_vcm[1][3]
1442.7319	250.86549 20.619423 200.115 -0.15991832 -0.071370426 0.020687917
1440.806	196.22265 82.667342 284.3325 -0.13755206 -0.071002931 -0.011279876
1440.6008	126.39441 160.75472 340.36769 -0.10615044 -0.062381243 -0.04156812
1439.7236	47.579155 248.34625 373.00571 -0.064869324 -0.049494913 -0.066128019
1436.9736	-32.202667 335.30803 379.67242 -0.013916433 -0.038145257 -0.083153823
1432.3209	-110.29666 402.12335 353.67617 0.044651379 -0.035185572 -0.092998705
1425.3472	-180.46685 435.73674 297.78039 0.10647805 -0.0445849 -0.096291412
1415.9726	-229.78329 442.75202 223.88289 0.16424853 -0.064132233 -0.093254183
1405.1962	-253.9913 440.03761 144.59632 0.20761335 -0.086344051 -0.084745069
1394.725	-266.40168 437.44669 70.753384 0.22588926 -0.10248316 -0.073185762
1387.1815	-288.30467 427.61303 11.36876 0.2130878 -0.10698057 -0.061772354
1385.7563	-332.28983 389.16662 -29.134124 0.17168883 -0.099712349 -0.052183276
1391.7538	-388.32379 305.76593 -50.682541 0.11208158 -0.084328125 -0.043023118
1402.7064	-428.96397 182.62709 -57.941369 0.047407367 -0.064042015 -0.031520618
1414.3873	-435.87473 39.186423 -65.05123 -0.012524387 -0.039011941 -0.017247674
1423.5432	-406.27046 -107.24358 -85.132502 -0.063084763 -0.0072715489 -0.0031571593
1427.8081	-341.40569 -246.72941 -113.46436 -0.10316341 0.032463793 0.0071324997
1425.4346	-247.01772 -371.16296 -131.88165 -0.13398161 0.078966146 0.012227384
1416.4453	-135.38143 -467.59431 -127.22128 -0.15860757 0.12882024 0.013252955
1403.5534	-19.161682 -521.05637 -100.86609 -0.18080037 0.17752358 0.011894414
1391.5184	94.238151 -527.10819 -64.418808 -0.20328993 0.21990704 0.0084612172
1384.8605	202.56691 -499.46657 -26.793441 -0.22647511 0.25058148 0.0021366422
1384.8641	306.69327 -461.20976 16.41536 -0.248455 0.26549394 -0.007390806
1388.9233	405.94311 -426.9056 73.946854 -0.26672814 0.2637045 -0.01976604
1393.3535	492.03369 -396.78492 143.99094 -0.2802339 0.24753813 -0.034939355
1395.8361	547.1444 -364.36926 216.6272 -0.2897471 0.22114357 -0.05298582
1395.5075	548.02529 -321.74772 283.26941 -0.29645705 0.1890123 -0.073234047
1392.5051	477.08288 -261.02262 335.18047 -0.30024052 0.15498551 -0.094365772
1387.8066	336.44587 -178.06652 355.82919 -0.29897353 0.12141616 -0.11498937
1382.7916	155.46093 -76.481115 327.51427 -0.28917192 0.088762278 -0.13286749
1378.4792	-21.981364 33.524874 251.81639 -0.2676781 0.056210929 -0.14333305
1375.1018	-163.71654 140.22735 153.79003 -0.2331608 0.02310719 -0.13988435
1372.6245	-261.41264 236.00257 61.439891 -0.18594885 -0.0098039549 -0.11749028
1371.4872	-325.92978 317.65456 -12.694869 -0.12701526 -0.040343808 -0.075504456
1372.3267	-373.25429 384.78498 -72.95254 -0.057770374 -0.066060174 -0.017977859
1375.6379	-409.00034 439.21116 -132.41996 0.019132679 -0.085842911 0.048205863
1382.0417	-428.82637 477.95176 -204.61499 0.099054505 -0.10114112 0.11592675
1391.9697	-428.82423 491.45697 -294.49249 0.17615292 -0.11543362 0.17954054
1404.9328	-413.65678 473.7895 -393.39915 0.24526364 -0.13234006 0.23463889
1418.6775	-400.68675 423.81224 -484.73933 0.30334646 -0.15448183 0.27726941
1429.5894	-406.38444 346.79634 -552.57302 0.35031338 -0.18290275 0.30477663
1435.4362	-431.26489 254.74384 -594.08395 0.38831111 -0.21692929 0.31692862
1436.8295	-465.52849 155.56244 -624.34066 0.4191587 -0.25446329 0.31577792
1435.7994	-502.77582 58.847005 -656.89519 0.44220379 -0.29134408 0.30490595
1433.8362	-539.46271 -13.867657 -689.46134 0.45489771 -0.32144817 0.28806788
1431.9158	-564.58718 -43.119885 -712.67532 0.4555538 -0.33911486 0.26791983
1430.7622	-561.45496 -28.617694 -718.35118 0.44516587 -0.34149052 0.24586746
