# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
1.450991396586973764e-02 8.432558466119309537e-03 1.308622299100898623e+01 6.639803176028841181e-02 2.142701033749835116e+00 1.422711312917243620e-01
-1.242886390286705202e-02 8.432558466119309537e-03 1.306136526320325153e+01 6.850642882809138134e-02 2.090094897964728471e+00 1.431849373713775797e-01
2.382375512926817110e-02 8.432558466119309537e-03 1.310901277346178873e+01 7.055184590013524604e-02 2.192093407150908835e+00 1.546562362600133744e-01
2.975058199278446218e-03 8.432558466119309537e-03 1.311496288986034564e+01 7.253961075891235399e-02 2.205175499469597344e+00 1.599625723866147375e-01
-2.115774326454925719e-02 8.432558466119309537e-03 1.307264740333124742e+01 7.447433986409408846e-02 2.113809163777349287e+00 1.574245420709908527e-01
3.385237288084479851e-02 8.432558466119309537e-03 1.314035214909293714e+01 7.636006461057164019e-02 2.261880069375295399e+00 1.727173082388618053e-01
-2.464034890871309724e-02 8.432558466119309537e-03 1.309107145127551064e+01 7.820033015575289514e-02 2.153115060170976758e+00 1.683743085686941199e-01
-4.109659006069569208e-03 8.432558466119309537e-03 1.308285213326337093e+01 7.999827376641846510e-02 2.135490453122087740e+00 1.708355498944337802e-01
3.723267790578682103e-03 8.432558466119309537e-03 1.309029866884452886e+01 8.175668764538421285e-02 2.151451813427298188e+00 1.758955738944710523e-01
-1.536677642165855569e-02 8.432558466119309537e-03 1.305956511600121139e+01 8.347806983802992520e-02 2.086335803958559332e+00 1.741632859484348872e-01
3.105812046922829667e-03 8.432558466119309537e-03 1.306577674009505685e+01 8.516466587159889079e-02 2.099335671050928553e+00 1.787892209773811747e-01
-3.376168534953735700e-02 8.432558466119309537e-03 1.299825336939598230e+01 8.681850310941305326e-02 1.962261386653092243e+00 1.703605962986226574e-01
-1.263938684461614337e-02 8.432558466119309537e-03 1.297297459570675038e+01 8.844141931978050097e-02 1.913279534047035213e+00 1.692131575466080950e-01
1.940188116754437697e-02 8.432558466119309537e-03 1.301177835804183935e+01 9.003508660758496873e-02 1.988981235141334070e+00 1.790780977668113283e-01
-2.543474044993678917e-03 8.432558466119309537e-03 1.300669140995185202e+01 9.160103159666602157e-02 1.978889081739359845e+00 1.812682813027045037e-01
1.539148416748219866e-02 8.432558466119309537e-03 1.303747437828681655e+01 9.314065255682660305e-02 2.040752445646261570e+00 1.900770144944325946e-01
1.330962046148251657e-02 8.432558466119309537e-03 1.306409361920978185e+01 9.465523402247533191e-02 2.095805207269894943e+00 1.983789323596543419e-01
1.618007065841140998e-03 8.432558466119309537e-03 1.306732963334146369e+01 9.614595933780915871e-02 2.102598247797506481e+00 2.021563256364878602e-01
2.379922647286771345e-02 8.432558466119309537e-03 1.311492808628719864e+01 9.761392147704001099e-02 2.205098752818336116e+00 2.152483365067279220e-01
-3.439659619818188820e-03 8.432558466119309537e-03 1.310804876704756161e+01 9.906013242098868354e-02 2.189981233283980089e+00 2.169398309685911796e-01
4.230807575682067612e-03 8.432558466119309537e-03 1.311651038219892662e+01 1.004855313187022758e-01 2.208590633425541405e+00 2.219314032652747459e-01
1.333357139989142445e-02 8.432558466119309537e-03 1.314317752499870906e+01 1.018909916211437061e-01 2.268279767344011599e+00 2.311172747688584883e-01
