# freqs_THz  psd  fpsd  logpsd  flogpsd
# 
2.500700196054895796e-01 3.525392767374370596e+05 9.536426132590393536e+05 1.277291731839595457e+01 1.362130266216210828e+01
2.600728203897091362e-01 6.612544441394269234e+05 8.221065821411367506e+05 1.340189398294783096e+01 1.348163495194152617e+01
2.700756211739287482e-01 5.435191570157564711e+05 8.244046383993494092e+05 1.320582023242131520e+01 1.348550938631766627e+01
2.800784219581483603e-01 1.295617910423245048e+06 8.223139849889281904e+05 1.407449829022146126e+01 1.348176033844653432e+01
2.900812227423679168e-01 1.624405745643069036e+06 8.271105116634431761e+05 1.430065261187437642e+01 1.349102527654209105e+01
3.000840235265874734e-01 9.186384141020379029e+05 7.320686635562307201e+05 1.373064786809444549e+01 1.339564333449627931e+01
3.100868243108070299e-01 3.966738871824536473e+05 7.095087280543107772e+05 1.289086977923490451e+01 1.328499569038250705e+01
3.200896250950266420e-01 6.058624398310758406e+05 7.254789187630969100e+05 1.331440824230531383e+01 1.330641365394206233e+01
3.300924258792462540e-01 5.462296005731633632e+05 6.892892725097504444e+05 1.321079468020612602e+01 1.318656373372767909e+01
3.400952266634658105e-01 5.445362811878784560e+05 6.339083074098473880e+05 1.320768985125264727e+01 1.312881439741880207e+01
3.500980274476853671e-01 5.634781422829948133e+05 6.052609470314214705e+05 1.324188382250467022e+01 1.310920884886174598e+01
3.601008282319049791e-01 1.043799862163161015e+05 5.738708830751131754e+05 1.155579323314447393e+01 1.306635428234450202e+01
3.701036290161245357e-01 8.369265419360756641e+05 5.518188651188289514e+05 1.363749158210293544e+01 1.298039957386568766e+01
3.801064298003441477e-01 1.454330482289444190e+05 5.950141531008558813e+05 1.188747111006310675e+01 1.303303581632611419e+01
3.901092305845637598e-01 6.864272943243110785e+05 6.032171201073892880e+05 1.343925559082379984e+01 1.304693451513367108e+01
4.001120313687832608e-01 1.309284781480384525e+06 7.172147736794282682e+05 1.408499157774676824e+01 1.315555083446396267e+01
4.101148321530028729e-01 5.733477105826453771e+05 6.881286494873319753e+05 1.325924763640475135e+01 1.307928854190533485e+01
