# freqs_THz  cepf_psd cepf_logpsd
# 
7.202016564638099583e-01 6.983890533706657588e+05 1.328070365594716051e+01
7.302044572480295148e-01 6.994120994609745685e+05 1.328216744966475638e+01
7.402072580322490714e-01 7.005090646351545583e+05 1.328373463134159849e+01
7.502100588164687389e-01 7.016806991809071042e+05 1.328540578149353912e+01
7.602128596006882955e-01 7.029276863396723056e+05 1.328718134755056646e+01
7.702156603849078520e-01 7.042506410199943930e+05 1.328906164238509646e+01
7.802184611691275196e-01 7.056501084991359385e+05 1.329104684303021955e+01
7.902212619533470761e-01 7.071265631110562244e+05 1.329313698958927148e+01
8.002240627375665216e-01 7.086804069203686668e+05 1.329533198433936292e+01
8.102268635217860782e-01 7.103119683817800833e+05 1.329763159103043435e+01
8.202296643060057457e-01 7.120215009850531351e+05 1.330003543438123437e+01
8.302324650902253023e-01 7.138091818862239597e+05 1.330254299977363885e+01
8.402352658744448588e-01 7.156751105260640616e+05 1.330515363314610688e+01
8.502380666586645264e-01 7.176193072374489857e+05 1.330786654108701406e+01
8.602408674428840829e-01 7.196417118437482277e+05 1.331068079112822033e+01
8.702436682271035284e-01 7.217421822510167258e+05 1.331359531223912285e+01
8.802464690113233070e-01 7.239204930369567592e+05 1.331660889552066784e+01
8.902492697955427525e-01 7.261763340408725198e+05 1.331972019509947991e+01
9.002520705797624201e-01 7.285093089584849076e+05 1.332292772922072466e+01
9.102548713639819766e-01 7.309189339468805119e+05 1.332622988153920573e+01
9.202576721482016442e-01 7.334046362449077424e+05 1.332962490260719690e+01
9.302604729324210897e-01 7.359657528150322614e+05 1.333311091155743178e+01
9.402632737166408683e-01 7.386015290133815724e+05 1.333668589797961523e+01
9.502660745008603138e-01 7.413111172949667089e+05 1.334034772398816493e+01
9.602688752850799814e-01 7.440935759617668809e+05 1.334409412647884174e+01
9.702716760692995379e-01 7.469478679620060138e+05 1.334792271957183374e+01
9.802744768535190945e-01 7.498728597490492975e+05 1.335183099723805356e+01
9.902772776377386510e-01 7.528673202093793079e+05 1.335581633610589591e+01
1.000280078421958319e+00 7.559299196689587552e+05 1.335987599844463958e+01
1.010282879206177764e+00 7.590592289883084595e+05 1.336400713532122708e+01
1.020285679990397432e+00 7.622537187564353226e+05 1.336820678992613765e+01
1.030288480774617099e+00 7.655117585946063045e+05 1.337247190106450745e+01
1.040291281558836545e+00 7.688316165808708174e+05 1.337679930680788409e+01
1.050294082343056212e+00 7.722114588068233570e+05 1.338118574830220631e+01
1.060296883127275880e+00 7.756493490779962158e+05 1.338562787372696405e+01
1.070299683911495103e+00 7.791432487696838798e+05 1.339012224240061322e+01
1.080302484695714993e+00 7.826910168499943102e+05 1.339466532902697082e+01
1.090305285479934438e+00 7.862904100817959988e+05 1.339925352807690473e+01
1.100308086264154106e+00 7.899390834157034988e+05 1.340388315830008814e+01
1.110310887048373552e+00 7.936345905853321310e+05 1.340855046736035661e+01
1.120313687832593441e+00 7.973743849167914595e+05 1.341325163658919806e+01
1.130316488616812665e+00 8.011558203633720987e+05 1.341798278585075543e+01
1.140319289401032554e+00 8.049761527764637722e+05 1.342273997851209266e+01
1.150322090185252000e+00 8.088325414232471958e+05 1.342751922651221008e+01
1.160324890969471667e+00 8.127220507611349458e+05 1.343231649552306450e+01
1.170327691753691113e+00 8.166416524783341447e+05 1.343712771019569452e+01
